BIG TALL digis that may be hearing TOO MANY STATIONS  Dec 2004
--------------------------------------------------------------

This is a list of ALL known DIGI's in the world heard by
FINDU.  Use it to see if your digi may be having severe
reliablity problems for local users because it is hearing
too many stations in its area (its own claimed PHG range).

Since anything above about 60 users average is a 100% saturated 
channel (called your ALOHA range), digis with more users appear 
to just hear too much to be able to reliably support local users.

It might be better to let the smaller lower digis closer
to the users be the first hop and for these big digis to
digipeate all that they hear over onto a UHF channel only
so that they dont digipeat back on the national channel
where they will cut the channel throughput by 50%!

Or if the PHG here is unrealistic for your digi, then
consider updating your PHGXXXX string to better match reality.

Sorted by CALLSIGN:

DIGI-CALL  PHG       RNG  STNS
K5DRT-1    PHG7630   53   4 
K5FTW-5    PHG7600   44   250 
K5LLL-13   PHG5350   17   3 
K5TTC-2    PHG9550   47   25 
K5VAS-2    PHG6550   39   23 
K5WH-2     PHG4450   22   44 
K5WTC-2    PHG9550   47   25 
K5WWC-2    PHG9950   191  211 
K5YM-12    PHG5200   9.5  2 
K5ZRO      PHG4570   35   6 
K6EEF-10   PHG5456   25   12 
K6IXA-2    PHG5830   89   52 
K6IXA-3    PHG5990   179  258 
K6JE-3     PHG5630   45   75 
K6JKC-3    PHG5810   80   14 
K6SYV-10   PHG7730   75   60 
K6TVI-1    PHG4330   14   4 
K7DDI-3    PHG5900   107  48 
K7FED-15   PHG7100   7.9  10 
K7GIL-1    PHG5760   75   231 
K7LHR      PHG7260   15   7 
K7MT-10    PHG4960   135  45 
K7RNS-10   PHG5670   56   9 
K7YD-10    PHG2790   56   8 
K7ZGN-7    PHG5334   15   9 
K8CAD-3    PHG7730   75   60 
K8LOD-3    PHG0000   0    0 
K8RAG-10   PHG8460   33   9 
K8RDK      PHG5240   11   18 
K8SN-2     PHG6460   29   34 
K8TIH      PHG4360   16   13 
K8TQ       PHG5450   25   19 
K8UI-1     PHG4460   23   9 
K8UI-5     PHG6520   32   64 
K8UI-6     PHG5400   18   33 
K8UI-7     PHG6330   17   7 
K9APR-3    PHG6460   29   49 
K9APR-4    PHG2360   11   7 
K9HGX-7    PHG5460   26   3 
K9TNW-10   PHG4490   28   54 
KA0ARS     PHG9560   50   39 
KA0GFC     PHG5250   12   2 
KA0GFC-2   PHG8130   10   11 
KA0GFC-4   PHG5250   12   2 
KA0RDE-1   PHG5360   18   2 
KA0TMW-1   PHG7150   10   15 
KA1EKS-6   PHG2660   33   6 
KA1EKS-8   PHG2260   8.4  2 
KA1QFE-15  PHG5730   63   198 
KA2QYE-10  PHG6730   69   101 
KA3POX     PHG3238   8.7  12 
KA4BNI-7   PHG5450   25   20 
KA4BNI-8   PHG5450   25   20 
KA4BNI-9   PHG5450   25   4 
KA4CNI-9   PHG5450   25   4 
KA4KMA-1   PHG7660   63   81 
KA4KMA-4   PHG7630   53   71 
KA4KMA-5   PHG7660   63   81 
KA5FKI-7   PHG5230   11   2 
KA5WMY-1   PHG9550   47   29 
KA6DAC     PHG3240   9.2  13 
KA8ZNY-10  PHG8490   40   67 
KA8ZNY-4   PHG8490   40   24 
KA9RZL     PHG7060   7.9  6 
KA9VNV-15  PHG6230   12   22 
KANAB      PHG7825   100  17 
KB0BWG-1   PHG5230   11   19 
KB0GKN-10  PHG5330   15   1 
KB0ISW-2   PHG3530   24   1 
KB0JBF-1   PHG6130   8.7  7 
KB0JBF-2   PHG5470   28   1 
KB0JBF-3   PHG6130   8.7  1 
KB0JBF-4   PHG6370   21   5 
KB0UJL-2   PHG8403   23   14 
KB0UUR     PHG4665   47   60 
KB0VOX-3   PHG7160   11   1 
KB0VYO-1   PHG6530   34   40 
KB0VZP-2   PHG9160   12   2 
KB0WZI-3   PHG6440   26   26 
KB0ZLB-1   PHG6130   8.7  1 
KB2EAR-1   PHG7490   37   142 
KB2SAE-15  PHG5638   45   54 
KB2TSV-15  PHG3420   16   13 
KB2WYA     PHG6350   19   24 
KB4TOH-10  PHG5760   75   57 
KB5LS      PHG7660   63   36 
KB5LS-1    PHG7660   63   36 
KB5LS-9    PHG7660   63   36 
KB5NMB-7   PHG6430   24   10 
KB5NMB-9   PHG7420   25   9 
KB5VE-7    PHG4460   23   5 
KB5WBH-5   PHG3430   17   7 
KB5WBH-6   PHG3430   17   7 
KB5WBH-7   PHG3430   17   7 
KB5WBH-8   PHG3430   17   7 
